serial_no,TENURE,VALUE,YRBUILT,RENT,HINC,SUBSAMPL,PUMA5
0001177,3,,4,0600,00014300,21,00400
0001270,3,,2,2000,00066100,99,00102
0001347,1,14,9,,00174480,76,00200
0002189,4,,5,,00023600,95,00400
0004100,0,12,5,,00000000,98,00200
0004366,3,,9,0480,00081640,34,00300
0005749,4,,7,,00042100,57,00101
0005847,1,18,3,,00052460,77,00300
0005913,3,,6,0350,00009800,13,00101
0007189,0,,3,,00000000,64,00400
0007405,4,,5,,00012500,76,00101
0007646,1,16,5,,00077400,27,00300
0007866,0,,5,,00000000,98,00101
0008026,1,15,5,,00033700,45,00101
0009685,4,,4,,00036400,91,00400
0010141,3,,5,0300,00116900,81,00400
0010335,2,18,2,,00069000,08,00400
0010867,2,08,7,,00029380,72,00400
0011938,3,,5,0600,00019800,65,00101
0012084,0,,,,00000000,09,00200
0012819,1,08,3,,00041700,72,00400
0013502,1,14,5,,00048000,49,00102
0014277,1,18,4,,00081900,40,00102
0016657,0,,7,,00000000,13,00101
0016683,0,,,,00000000,53,00101
0018092,1,17,7,,00093000,62,00400
0018546,0,,5,,00000000,59,00200
0020464,2,16,4,,00151800,40,00300
0023121,0,,2,,00000000,45,00300
0024095,1,14,2,,00034200,13,00200
0024214,2,22,4,,00012500,68,00300
0024466,1,17,4,,00061230,29,00102
0024732,0,,4,,00000000,34,00300
0025181,3,,4,0750,00018700,14,00101
0025306,0,,6,,00000000,31,00400
0025929,1,18,5,,00123200,44,00400
0026191,2,15,6,,00117100,17,00101
0026440,1,04,6,,00026810,02,00400
0026560,2,03,9,,00021800,47,00300
0027951,1,02,5,,00023000,31,00102
0028570,3,,5,0300,00011200,09,00400
0029844,3,,2,0900,00058500,91,00400
0031429,2,11,4,,00013700,92,00300
0033086,1,16,4,,00070800,72,00300
0034611,0,,,,00000000,93,00400
0036360,3,,5,0140,00060100,30,00400
0036409,0,,6,,00000000,55,00300
0037109,1,15,4,,00093200,22,00200
0037761,1,18,4,,00055000,90,00200
0038470,2,15,5,,00111700,19,00200
0038494,2,03,4,,00003700,74,00400
0039709,3,,4,0800,00038000,28,00101
0040072,1,16,4,,00086000,96,00400
0041102,0,,4,,00000000,22,00400
0041456,0,,,,00000000,01,00300
0041632,1,19,4,,00087300,35,00300
0042383,2,11,4,,00089500,02,00400
0042480,1,17,6,,00038450,07,00300
0043709,1,18,4,,00120900,75,00101
0043760,2,03,3,,00015700,49,00400
0044367,1,09,2,,00023900,95,00200
0049257,1,14,4,,00061110,63,00102
0049681,3,,4,0100,00003600,53,00400
0051155,1,17,2,,00026800,14,00400
0051566,0,,,,00000000,28,00400
0052069,0,,2,,00000000,05,00200
0053030,1,14,4,,00037400,79,00300
0053041,1,18,4,,00117000,05,00400
0054205,1,17,3,,00045300,47,00200
0056755,0,,,,00000000,33,00300
0056882,0,,8,,00000000,11,00400
0057623,1,17,3,,00100000,44,00200
0058019,0,,,,00000000,09,00300
0058203,0,,4,,00000000,79,00200
0058705,0,,4,,00000000,33,00400
0060113,2,14,5,,00152900,58,00400
0061929,0,,,,00000000,34,00300
0062437,3,,5,0500,00050000,38,00400
0062988,4,,5,,00010300,56,00200
0062996,2,20,7,,00139500,78,00101
0063171,0,,,,00000000,18,00101
0063422,2,06,5,,00046800,52,00400
0063506,2,08,5,,00022700,75,00200
0063868,0,,5,,00000000,92,00400
0063941,3,,4,1100,00052400,56,00101
0064483,0,,4,,00000000,95,00300
0064703,0,,4,,00000000,18,00200
0065352,3,,5,0750,00041800,01,00200
0066251,1,05,4,,00023800,20,00300
0066498,4,,4,,00001800,46,00400
0066733,4,,7,,00020000,48,00101
0067840,2,11,4,,00071000,85,00200
0067911,0,,5,,00000000,15,00200
0068740,3,,5,0600,00028400,17,00102
0070386,0,,,,00000000,10,00200
0071188,1,16,4,,00070900,40,00102
0071331,3,,2,0110,00024400,47,00300
0072245,0,17,1,,00000000,07,00102
0073429,3,,7,1300,00231400,89,00300
0073741,0,,4,0500,00000000,34,00200
0073902,1,15,9,,00063400,69,00300
0074159,3,,4,0300,00012200,90,00200
0074907,1,15,4,,00243500,55,00400
0076268,2,01,4,,00064370,43,00200
0076398,1,18,4,,00152000,17,00102
0076890,1,18,5,,00087100,42,00101
0078493,1,17,6,,00067400,32,00101
0078828,1,15,4,,00055700,25,00300
0080149,1,17,4,,00083100,68,00102
0081685,2,14,5,,00017740,22,00400
0082265,1,15,2,,00081100,99,00102
0082773,2,14,5,,00027130,48,00102
0084606,0,,8,0440,00000000,45,00300
0085559,1,15,2,,00114900,97,00200
0085978,0,,6,0550,00000000,26,00200
0087131,1,14,9,,00108800,67,00300
0087133,0,,6,,00000000,05,00300
0087413,0,,3,,00000000,77,00102
0088804,4,,4,,00070400,03,00400
0088863,0,,6,,00000000,99,00400
0088999,0,,2,,00000000,97,00200
0089897,3,,4,1400,00051000,94,00102
0090084,2,04,5,,00030000,83,00102
0090304,0,,2,,00000000,65,00400
0090523,3,,3,1100,00020200,65,00400
0090981,1,18,1,,00056570,73,00101
0091246,3,,5,0300,00016200,71,00200
0091500,3,,4,0300,00027100,92,00200
0092504,0,,,,00000000,02,00400
0093026,1,15,2,,00037000,67,00200
