serial_no,RACE3,INCTOT,SEX,age
0001177,32,0014300,2,19
0001270,47,0066100,2,88
0001347,47,0030000,1,32
0001347,47,0039080,2,33
0001347,47,,2,05
0001347,47,,1,03
0001347,47,0001400,2,53
0001347,47,0104000,1,46
0002189,71,0000000,1,30
0002189,32,0023600,2,25
0004366,71,0069440,1,37
0004366,46,0012200,2,37
0004366,71,,1,07
0004366,46,,2,01
0005749,01,0015000,1,23
0005749,47,0005300,2,24
0005749,01,,1,02
0005749,01,,1,01
0005749,01,0021800,2,24
0005847,47,0042960,1,47
0005847,47,0007700,2,48
0005847,47,0001800,1,16
0005913,01,0009800,1,40
0007405,47,0012500,1,21
0007405,47,0000000,2,18
0007646,47,0027700,2,40
0007646,47,0049700,1,38
0008026,32,0033700,2,31
0008026,32,,2,11
0008026,32,,2,08
0009685,32,0024000,2,24
0009685,32,,1,08
0009685,32,,1,06
0009685,32,,2,03
0009685,32,0012400,1,26
0010141,47,0071800,1,33
0010141,32,0041600,2,37
0010141,32,0003500,2,18
0010141,47,,2,08
0010141,32,,2,08
0010141,32,,1,05
0010335,47,0067300,1,51
0010335,47,0001700,2,44
0010867,32,0020100,2,65
0010867,32,0005200,2,40
0010867,32,0004080,1,48
0011938,47,0019800,2,28
0011938,47,,2,02
0012084,32,0004900,1,33
0012819,32,0041700,1,49
0013502,47,0029000,1,55
0013502,66,0019000,2,54
0014277,37,0036000,1,49
0014277,37,0034900,2,41
0014277,37,,1,07
0014277,37,0006800,1,17
0014277,37,0004200,2,16
0016683,47,0003000,1,67
0018092,47,0065000,2,52
0018092,47,0028000,2,42
0020464,47,0079900,2,61
0020464,47,0071900,1,54
0024095,47,0025100,1,49
0024095,32,0009100,2,41
0024095,47,,1,05
0024214,47,0012500,1,67
0024466,47,0056950,1,48
0024466,47,0001800,2,43
0024466,47,0002480,2,16
0024466,47,,1,13
0024466,47,,1,11
0024466,47,,2,09
0024466,47,,2,03
0025181,47,0018700,2,83
0025929,47,0030400,2,42
0025929,47,0085000,1,42
0025929,47,0007800,1,16
0025929,47,,1,13
0026191,47,0114500,1,83
0026191,47,0002600,2,82
0026440,47,0000310,1,23
0026440,47,0026500,2,20
0026560,47,0021800,1,48
0027951,66,0019800,1,29
0027951,66,,2,00
0027951,66,,2,07
0027951,47,,1,03
0027951,66,0003200,2,30
0028570,66,0011200,1,62
0029844,32,0042600,1,38
0029844,32,0010800,2,37
0029844,32,0003300,1,16
0029844,32,0001800,2,15
0029844,32,,2,12
0029844,32,,2,01
0031429,47,0013700,1,69
0033086,47,0046800,1,45
0033086,47,0024000,2,40
0033086,47,,1,06
0033086,47,,1,03
0034611,32,0001500,1,15
0036360,32,0056800,1,49
0036360,32,0003300,2,49
0036360,32,,2,09
0037109,47,0079000,1,62
0037109,47,0014200,2,49
0037761,47,0000000,1,47
0037761,47,0055000,2,47
0038470,47,0094300,1,88
0038470,47,0017400,2,78
0038494,32,0003700,1,48
0039709,20,0020000,1,35
0039709,20,0018000,2,33
0040072,47,0064000,1,42
0040072,32,0022000,2,36
0040072,66,,1,10
0040072,66,,1,08
0041456,47,0016000,1,25
0041632,47,0025500,1,29
0041632,47,0014000,2,24
0041632,47,,1,04
0041632,01,0027000,1,33
0041632,47,0020800,1,25
0042383,32,0065700,1,33
0042383,32,0018000,2,33
0042383,32,0005800,2,15
0042383,32,,2,13
0042383,32,,1,11
0042383,32,,1,11
0042383,32,,1,08
0042480,47,0034750,1,31
0042480,15,0003700,2,28
0042480,59,,1,03
0042480,59,,1,01
0043709,47,0079200,1,46
0043709,47,0040000,2,47
0043709,47,0001700,2,15
0043760,32,0003100,2,35
0043760,32,0010800,1,43
0043760,32,0001800,1,15
0043760,32,,2,13
0043760,32,,2,10
0043760,32,,1,09
0043760,32,,1,03
0043760,32,,2,00
0043760,32,,1,02
0043760,32,,1,01
0044367,48,0023900,1,83
0049257,47,0061110,2,55
0049681,32,0001800,1,69
0049681,32,0001800,2,63
0051155,32,0006900,1,73
0051155,32,0008300,2,70
0051155,32,0009800,1,41
0051155,32,0001800,1,21
0051566,32,0004000,1,40
0053030,47,0037400,2,53
0053041,47,0084000,1,57
0053041,32,0033000,2,48
0054205,47,0041800,2,45
0054205,47,0003500,1,17
0056755,37,0018000,1,19
0057623,47,0100000,1,41
0057623,47,0000000,2,37
0057623,47,,2,12
0057623,47,,2,09
0057623,47,,1,05
0057623,47,,2,02
0058019,68,0027000,1,29
0060113,32,0015900,1,73
0060113,32,0000000,2,61
0060113,32,0014100,1,24
0060113,32,0072500,1,19
0060113,32,0050400,1,36
0061929,47,0017500,2,21
0062437,47,0050000,1,28
0062988,47,0010300,2,83
0062996,47,0076700,1,83
0062996,47,0062800,2,86
0063171,47,0015700,2,21
0063422,32,0020700,1,52
0063422,32,0001700,2,52
0063422,32,0010700,1,21
0063422,32,0013700,2,20
0063422,32,,1,07
0063506,47,0001600,1,60
0063506,47,0021100,2,59
0063941,37,0043800,1,37
0063941,37,,1,14
0063941,37,0003800,2,18
0063941,37,0004800,2,36
0065352,47,0041800,1,31
0066251,47,0013800,1,39
0066251,47,0010000,2,38
0066251,47,,1,05
0066251,47,,1,03
0066498,32,0001800,1,49
0066733,47,0017000,1,20
0066733,47,0003000,2,20
0066733,47,,2,01
0066733,47,,1,00
0067840,47,0021500,1,42
0067840,47,0049500,2,38
0068740,47,0013700,1,23
0068740,32,0014700,2,25
0070386,32,0000000,1,24
0071188,47,0044000,1,73
0071188,47,0026900,2,61
0071331,32,0011500,2,23
0071331,47,0012900,1,23
0071331,32,,2,08
0071331,47,,1,00
0073429,47,0229700,1,32
0073429,47,0001700,2,30
0073429,47,,1,07
0073429,47,,1,06
0073429,47,,1,04
0073902,47,0031700,1,38
0073902,47,0031700,1,39
0074159,32,0012200,2,42
0074907,47,0242500,1,35
0074907,32,0001000,2,32
0074907,32,,1,10
0074907,32,,2,06
0074907,32,,2,03
0076268,47,0035370,1,50
0076268,32,0029000,2,45
0076268,66,,2,13
0076398,47,0139400,1,77
0076398,47,0012600,2,71
0076890,47,0087100,2,57
0078493,47,0041700,2,55
0078493,47,0025700,2,33
0078493,47,,1,05
0078493,47,,2,01
0078828,47,0048100,1,40
0078828,47,0007600,2,39
0078828,47,,2,13
0080149,47,0081000,1,40
0080149,47,0002100,2,38
0080149,47,,2,03
